"CA_MPA_Name_Short","year","taxon_name","source","status","value","resp","BA","time"
"Anacapa Island SMR 2003",2005,"Semicossyphus pulcher","KFM","mpa",0.0025,"Den","After",2
"Anacapa Island SMR 2003",2006,"Semicossyphus pulcher","KFM","mpa",0.005,"Den","After",3
"Anacapa Island SMR 2003",2007,"Semicossyphus pulcher","KFM","mpa",0,"Den","After",4
"Anacapa Island SMR 2003",2008,"Semicossyphus pulcher","KFM","mpa",0.0025,"Den","After",5
"Anacapa Island SMR 2003",2009,"Semicossyphus pulcher","KFM","mpa",0.0125,"Den","After",6
"Anacapa Island SMR 2003",2010,"Semicossyphus pulcher","KFM","mpa",0.0025,"Den","After",7
"Anacapa Island SMR 2003",2011,"Semicossyphus pulcher","KFM","mpa",0.01,"Den","After",8
"Anacapa Island SMR 2003",2012,"Semicossyphus pulcher","KFM","mpa",0.0025,"Den","After",9
"Anacapa Island SMR 2003",2013,"Semicossyphus pulcher","KFM","mpa",0.035,"Den","After",10
"Anacapa Island SMR 2003",2014,"Semicossyphus pulcher","KFM","mpa",0.01375,"Den","After",11
"Anacapa Island SMR 2003",2015,"Semicossyphus pulcher","KFM","mpa",0.04,"Den","After",12
"Anacapa Island SMR 2003",2016,"Semicossyphus pulcher","KFM","mpa",0.055,"Den","After",13
"Anacapa Island SMR 2003",2017,"Semicossyphus pulcher","KFM","mpa",0.055,"Den","After",14
"Anacapa Island SMR 2003",2018,"Semicossyphus pulcher","KFM","mpa",0.025,"Den","After",15
"Anacapa Island SMR 2003",2019,"Semicossyphus pulcher","KFM","mpa",0.0075,"Den","After",16
"Anacapa Island SMR 2003",2021,"Semicossyphus pulcher","KFM","mpa",0.0125,"Den","After",18
"Anacapa Island SMR 2003",2022,"Semicossyphus pulcher","KFM","mpa",0.025,"Den","After",19
"Gull Island SMR",1986,"Semicossyphus pulcher","KFM","mpa",0.0275,"Den","Before",0
"Gull Island SMR",1987,"Semicossyphus pulcher","KFM","mpa",0.0175,"Den","Before",0
"Gull Island SMR",1988,"Semicossyphus pulcher","KFM","mpa",0.02875,"Den","Before",0
"Gull Island SMR",1989,"Semicossyphus pulcher","KFM","mpa",0.02125,"Den","Before",0
"Gull Island SMR",1990,"Semicossyphus pulcher","KFM","mpa",0.005,"Den","Before",0
"Gull Island SMR",1991,"Semicossyphus pulcher","KFM","mpa",0.0075,"Den","Before",0
"Gull Island SMR",1992,"Semicossyphus pulcher","KFM","mpa",0.00875,"Den","Before",0
"Gull Island SMR",1993,"Semicossyphus pulcher","KFM","mpa",0.02,"Den","Before",0
"Gull Island SMR",1994,"Semicossyphus pulcher","KFM","mpa",0.0125,"Den","Before",0
"Gull Island SMR",1995,"Semicossyphus pulcher","KFM","mpa",0.025,"Den","Before",0
"Gull Island SMR",1996,"Semicossyphus pulcher","KFM","mpa",0.0375,"Den","Before",0
